author,description
Басов Яків Олександр.,"Алея кипарисів. З циклу «Ялта - місто біля моря». 1984. Папір, акварель. 64х61"
Батечко Іван Васильович,"Вечір в Стеблеві. 1962. З серії «Шляхами Тараса». Папір, кольорова ліногравюра. 34,4х57"
Батечко Іван Васильович,"Київський державний університет. 1964. З серії «Поема про Київ». Папір, кольорова ліногравюра. 59,5х39,2"
Батечко Іван Васильович,"Будинок, де народився Ленін. 1967. Кольорова ліногравюра. 34,5х43,5"
Батечко Іван Васильович,"Будинок, де жила сім’я Ульянових. 1968. Кольорова ліногравюра. 34,5х47"
Батечко Іван Васильович,"Зимовий палац. 1967. Кольорова ліногравюра. 32х47,5; 26х36 (у світлі)"
Батюшков Василь Микол.,"Галявинка з кашками. 1971. Папір, акварель. 31,5х46,5"
Батюшков Василь Микол.,"Осінній сніг. 1967. Папір, акварель. 29,5х39,5"
Батюшков Василь Микол.,"Доки в Клайпеді. 1970. Папір, акварель. 32х47"
Бахтов Володимир Олек.,"Виноградарство. 1985. З серії «Таврія – древній край». Папір, офорт. 57,5х70,5"
Бахтов Володимир Олек.,"Ріка Снів. Папір, офорт."
Бачурін Євген Володим.,"Копни. З серії «Родина». Папір, літографія. 60х83, 64х90"
Бачурін Євген Володим.,"Судно «Юрій Гагарін» в порту. З серії «Науково-дослідницькі судна». 1979. Папір, кольорова літографія. 50,7х63,5"
Башаров Кутлук Башаров.,"Осінь. Виноград. Права частина триптиху. Папір, автолітографія. 75х54"
Безін Іван Карлович,"Портрет Сарафанової Клави з совхозу «Дубровка». Поч. 1940-х - 1942. Папір, кольоровий олівець. 37х25,3"
Безін Іван Карлович,"Портрет голови колгоспу Єгорової Є.К. 1942. Папір, кольоровий олівець. 40х31"
Безін Іван Карлович,"Портрет голови колгоспу Шадрікова Т.Ф. 1942. Папір, кольоровий олівець. 42х29,8"
Безін Іван Карлович,"Портрет льотчика лейтенанта Суворова Р.М. Казань. 1942. Папір, олівець. 53,5х38,5"
Безкаравайний Володимир Митр.,"Повариха. 1961. Папір, автолітографія. 26х50"
Безніско Євген Іванович,"Журналіст Пероманюк. 1977. Папір, кольорова ліногравюра. 35х37"
Бекетов Карим,"Композиція. 1988. Папір, офорт. 29,5х30"
Беккер Давид Юлійович,"К.Е. Ціолковський. 1974. Папір, літографія. 32,5х42"
Беккер Давид Юлійович,"Косарі. 1971. Папір, кольорова ліногравюра. 67,5х56,5"
Беккер Давид Юлійович,"Зоряниця. 1971. Папір, кольорова ліногравюра. 66х56,5"
Беккер Давид Юлійович,"Косарі. 1974. Папір, кольорова літографія. 56х68"
Беккер Давид Юлійович,"Косарі. З серії «Пори року». 1974. Папір, кольорова літографія. 56х68"
Беккер Давид Юлійович,"Залізна гвардія революції. 1977. Папір, кольоровий офорт, травлення. 51х72"
Беккер Давид Юлійович,"«Благослови, поэтъ!». Папір, літографія. 41х42"
Беккер Давид Юлійович,"«Я повторил твои, Овидий, песнопенья.» Папір, літографія. 43,5х40"
